county,cluster,emp,est
Philadelphia,32,428,62
Philadelphia,33,204,86
Philadelphia,34,11,2
Philadelphia,35,567,28
Philadelphia,36,1039,29
Philadelphia,37,5623,820
Philadelphia,38,2513,45
Philadelphia,39,374,27
Philadelphia,40,1621,57
Philadelphia,41,1009,126
Philadelphia,42,196,25
Philadelphia,44,34,5
Philadelphia,45,5527,380
Philadelphia,46,580,10
Philadelphia,47,369,16
Philadelphia,48,724,243
Philadelphia,49,251,29
Philadelphia,50,433,22
Philadelphia,51,400,54
Philadelphia,101,24269,3040
Philadelphia,102,15386,4718
Philadelphia,103,102210,5842
Philadelphia,104,4645,109
Philadelphia,105,7114,530
Philadelphia,106,3755,1124
Philadelphia,107,12591,1028
Philadelphia,108,15749,2593
Philadelphia,109,14869,2235
Philadelphia,110,6328,606
Philadelphia,111,9034,1371
Philadelphia,112,71131,20727
Philadelphia,113,30697,793
Philadelphia,114,30640,4328
Philadelphia,115,37536,7525
Philadelphia,116,1937,455
